record_id,insect_id,note_type,content,reference,flag
note-200462,species-3437,生態情報,蛹越冬。,日本産蛾類標準図鑑1,immature
note-200464,species-3438,生態情報,2化目の幼虫は9月～10月に出現し。かなり遅い時期まで中齢幼虫が見られるので。幼虫越冬の可能性が高い。,日本産蛾類標準図鑑1,immature
note-200466,species-3439,生態情報,蛹越冬。,日本産蛾類標準図鑑1,immature
note-900025,species-3442,生態情報,7月下旬~8月中旬(中部地方の山地)。,日本産蛾類標準図鑑1,review
note-900085,species-3472,生態情報,3月下旬~4月 (低山地)。4月下旬~5月 (山地)。,日本産蛾類標準図鑑1,review
note-900115,species-3488,生態情報,10~11月 (関東地方周辺の山地)。8月 (高山帯)。,日本産蛾類標準図鑑1,review
note-900119,species-3490,生態情報,7~8月 (山地)。5~8月 (低山地)。,日本産蛾類標準図鑑1,review
note-900125,species-3493,生態情報,5月 (山地)。,日本産蛾類標準図鑑1,review
note-900131,species-3496,生態情報,10~11月 (関東地方周辺の山地)。,日本産蛾類標準図鑑1,review
note-900149,species-3505,生態情報,5~6月 (平地)。6~7月 (山地)。,日本産蛾類標準図鑑1,review
note-900164,species-3437,生態情報,蛹越冬する。,日本産蛾類標準図鑑1,immature
note-900166,species-3438,生態情報,2化目の幼虫は9~10月に出現し。かなり遅い時期まで中齢幼虫が見られるので。幼虫越冬の可能性が高い。,日本産蛾類標準図鑑1,immature
note-900167,species-3439,生態情報,蛹越冬する。,日本産蛾類標準図鑑1,immature
note-900175,species-3444,生態情報,3化目の♀が産んだ卵は10月中旬以降に孵化し。幼虫で越冬する。,日本産蛾類標準図鑑1,immature
note-900177,species-3445,生態情報,本州の産地では前種同様に幼虫越冬で。,日本産蛾類標準図鑑1,immature
note-900179,species-3446,生態情報,蛹越冬する。,日本産蛾類標準図鑑1,immature
note-900187,species-3450,生態情報,蛹越冬と推定できる。,日本産蛾類標準図鑑1,immature
note-900189,species-3451,生態情報,夏生は小型。,日本産蛾類標準図鑑1,review
note-900191,species-3452,生態情報,蛹で越冬すると思われる。,日本産蛾類標準図鑑1,immature
note-900193,species-3453,生態情報,越冬は2~3齢幼虫。,日本産蛾類標準図鑑1,immature
note-900195,species-3454,生態情報,幼虫が食樹の小枝に静止して越冬する。,日本産蛾類標準図鑑1,immature
note-900197,species-3455,生態情報,2~3齢幼虫が食樹の越冬芽のついている小枝の二叉した所に静止して越冬する。,日本産蛾類標準図鑑1,immature
note-900199,species-3456,生態情報,10月以降にあらわれた幼虫は。,日本産蛾類標準図鑑1,immature
note-900201,species-3457,生態情報,幼虫越冬と思われる。,日本産蛾類標準図鑑1,immature
note-900206,species-3460,生態情報,若齢幼虫が越冬する。,日本産蛾類標準図鑑1,immature
note-900208,species-3461,生態情報,経過習性は前種(アシベニカギバ)とほぼ同じと思われる。幼虫越冬と思われる。,日本産蛾類標準図鑑1,immature
note-900212,species-3463,生態情報,鹿児島県では若齢幼虫で越冬し。,日本産蛾類標準図鑑1,immature
note-900221,species-3468,生態情報,蛹越冬。,日本産蛾類標準図鑑1,immature
note-900225,species-3470,生態情報,蛹越冬。,日本産蛾類標準図鑑1,immature
note-900231,species-3473,生態情報,蛹で越冬する。,日本産蛾類標準図鑑1,immature
note-900237,species-3476,生態情報,静岡県で幼虫越冬が確認されている。,日本産蛾類標準図鑑1,immature
note-900244,species-3481,生態情報,2化性で蛹越冬と思われる。,日本産蛾類標準図鑑1,immature
note-900252,species-3485,生態情報,蛹越冬。,日本産蛾類標準図鑑1,immature
note-900262,species-3490,生態情報,蛹で越冬する。,日本産蛾類標準図鑑1,immature
note-900266,species-3492,生態情報,蛹で越冬する。,日本産蛾類標準図鑑1,immature
note-900268,species-3493,生態情報,蛹で越冬する。,日本産蛾類標準図鑑1,immature
note-900287,species-3503,生態情報,蛹越冬する。,日本産蛾類標準図鑑1,immature
note-900327,species-3541,生態情報,若齢幼虫で越冬する。,日本産蛾類標準図鑑1,immature
note-900333,species-3544,生態情報,蛹で越冬する。,日本産蛾類標準図鑑1,immature
note-900335,species-3545,生態情報,年2化で蛹越冬。,日本産蛾類標準図鑑1,immature
note-900337,species-3546,生態情報,蛹越冬。,日本産蛾類標準図鑑1,immature
note-900339,species-3547,生態情報,越冬態は蛹。,日本産蛾類標準図鑑1,immature
note-900341,species-3548,生態情報,幼虫あるいは蛹で越冬する。,日本産蛾類標準図鑑1,immature
note-900347,species-3552,生態情報,蛹で越冬する。,日本産蛾類標準図鑑1,immature
note-900353,species-3555,生態情報,蛹で越冬する。,日本産蛾類標準図鑑1,immature
note-901045-Eco01,species-4281,生態情報,蛹越冬。,日本産蛾類標準図鑑1,immature
note-999019,species-5933,生態情報,幼虫で越冬する。,日本産蛾類標準図鑑2,immature
note-999036,species-6151,生態情報,老熟した幼虫は夏に土中にもぐり蛹となり。,日本産蛾類標準図鑑2,immature
note-999051,species-5501,生態情報,年1回。卵で越冬する。,日本産蛾類標準図鑑2,immature
note-999061,species-5943,生態情報,幼虫越冬。,日本産蛾類標準図鑑2,immature
note-999069,species-5849,生態情報,若齢幼虫で越冬する。,日本産蛾類標準図鑑2,immature
note-999073,species-5611,生態情報,幼虫越冬する。,日本産蛾類標準図鑑2,immature
note-999079,species-5737,生態情報,蛹で越冬する。,日本産蛾類標準図鑑2,immature
note-999083,species-5551,生態情報,年2回。蛹で越冬する。,日本産蛾類標準図鑑2,immature
note-999090,species-5903,生態情報,幼虫越冬。,日本産蛾類標準図鑑2,immature
note-999096,species-5806,生態情報,幼虫は8～9月に見られ。老熟すると土中に入って蛹化し。,日本産蛾類標準図鑑2,immature
note-999109,species-4473,生態情報,卵で越冬する。,日本産蛾類標準図鑑2,immature
note-999126,species-5470,生態情報,年2回。蛹で越冬する。,日本産蛾類標準図鑑2,immature
note-999142,species-5592,生態情報,幼虫越冬。,日本産蛾類標準図鑑2,immature
note-999155,species-4558,生態情報,暖地では多化。蛹越冬。,日本産蛾類標準図鑑2,immature
note-999157,species-4559,生態情報,蛹越冬。,日本産蛾類標準図鑑2,immature
note-999159,species-4560,生態情報,暖地では多化する。幼虫越冬。,日本産蛾類標準図鑑2,immature
note-999161,species-4556,生態情報,暖地では年3化蛹越冬する。,日本産蛾類標準図鑑2,immature
note-999163,species-4561,生態情報,蛹越冬。,日本産蛾類標準図鑑2,immature
note-999165,species-4619,生態情報,蛹で越冬。,日本産蛾類標準図鑑2,immature
note-999167,species-4620,生態情報,蛹越冬。,日本産蛾類標準図鑑2,immature
note-999177,species-4617,生態情報,蛹で越夏し。そのまま蛹で越冬。,日本産蛾類標準図鑑2,immature
note-999187,species-4676,生態情報,蛹越冬。,日本産蛾類標準図鑑2,immature
note-999189,species-4677,生態情報,蛹越冬。,日本産蛾類標準図鑑2,immature
note-999195,species-4630,生態情報,土中で蛹越冬。,日本産蛾類標準図鑑2,immature
note-999197,species-4631,生態情報,蛹越冬。,日本産蛾類標準図鑑2,immature
note-999205,species-4653,生態情報,蛹越冬。,日本産蛾類標準図鑑2,immature
note-999207,species-4657,生態情報,卵越冬。,日本産蛾類標準図鑑2,immature
note-999209,species-4667,生態情報,卵越冬。,日本産蛾類標準図鑑2,immature
note-999211,species-4668,生態情報,卵越冬。,日本産蛾類標準図鑑2,immature
note-999213,species-4601,生態情報,蛹越冬。,日本産蛾類標準図鑑2,immature
note-999221,species-4576,生態情報,蛹越冬。,日本産蛾類標準図鑑2,immature
note-999225,species-4661,生態情報,蛹越冬。,日本産蛾類標準図鑑2,immature
note-HA202511081000-001,species-4470,生態情報,卵で越冬する。,日本産蛾類標準図鑑1,immature
note-ECOJP1-202511101941-044,species-4074,生態情報,夏季に山地で採れるが。まれ。,日本産蛾類標準図鑑1,review
note-ECOJP1-202511101941-051,species-4084,生態情報,山地で6~7月に得られる。,日本産蛾類標準図鑑1,review
note-ECOJP1-202511101941-053,species-4088,生態情報,亜高山から高山帯に多いが、いわゆるブナ帯でも採れる。関東地方。亜高山帯では9月中旬まで見られる。灯火に飛来するが。,日本産蛾類標準図鑑1,review
note-ECOJP1-202511101941-055,species-4090,生態情報,本州では東北地方から中部地方山地に分布する。北海道。東北地方では。関東地方・中部地方の山地では6月から見られる。,日本産蛾類標準図鑑1,review
note-ECOJP1-202511101941-060,species-4095,生態情報,全国的に低山地から山地に産し、比較的普通。低山地から山地では4月中・下旬から5月上・中旬まで見られる。,日本産蛾類標準図鑑1,review
note-ECOJP1-202511101941-064,species-4099,生態情報,本州では東北地方から関東地方・中部地方の山地に産し、少なくない。高標高の山地では5月上旬まで見られ。他種と混ざって採れる。,日本産蛾類標準図鑑1,review
note-ECOJP1-202511101941-068,species-4103,生態情報,関東地方周辺では低山地から亜高山帯の低部まで産するが、あまり多くない。1500mくらいの山地でも4月上旬から得られ。,日本産蛾類標準図鑑1,review
note-ECOJP1-202511101941-070,species-4104,生態情報,埼玉県の平地の記録(3月3日)をのぞくと。生態的に興味深い。,日本産蛾類標準図鑑1,review
note-ECOJP1-202511101941-071,species-4106,生態情報,"全国的に分布し、関東地方周辺では山間部から山地に多い。1,000m以上の山地では4月中旬~5月中旬に見られる。",日本産蛾類標準図鑑1,review
note-ECOJP1-202511101941-073,species-4108,生態情報,全国的に丘陵部から山地まで広く分布し、各地で多産する。1000m以上の山地では4月下旬~5月中旬まで見られる。,日本産蛾類標準図鑑1,review
note-ECOJP1-202511101941-077,species-4112,生態情報,平地から山地に比較的普通。山地では6~7月に見られる。,日本産蛾類標準図鑑1,review
note-ECOJP1-202511101941-086,species-4121,生態情報,昼飛性で、山間部の渓流沿いや山道の湿った所をよく飛ぶ。蛹で越冬する。,日本産蛾類標準図鑑1,immature
note-ECOJP1-202511101941-089,species-4124,生態情報,本州では。主に宮城県以南に分布し。関東地方周辺では低山地から山間部で5~7月に見られ。比較的普通。,日本産蛾類標準図鑑1,review
note-ECOJP1-202511101941-092,species-4127,生態情報,関東地方周辺では山地で6~7月に採れているが。かなり少ない。,日本産蛾類標準図鑑1,review
note-ECOJP1-202511101941-100,species-4135,生態情報,鹿児島県では11月下旬に幼虫が採れており。,日本産蛾類標準図鑑1,immature
note-ECOJP1-202511101941-106,species-4144,生態情報,北海道では大雪山と日高山脈に産する高山蛾で。1年目の冬を3齢幼虫で。2年目の冬を終齢幼虫で休眠・越冬し。最終越冬後は摂食することなく蛹化。,日本産蛾類標準図鑑1,immature
note-ECOJP1-202511101941-116,species-4154,生態情報,全国的に平地から山地まで広く産し、各地で多産する。関東地方周辺の平地では3月下旬から出始め。,日本産蛾類標準図鑑1,review
note-ECOJP1-202511101941-122,species-4161,生態情報,本州では、東北地方(岩手県)や中部地方山地に分布するが、局地的で非常に少ない。中部地方山地では7~8月に採れる。,日本産蛾類標準図鑑1,review
note-ECOJP1-202511101941-126,species-4165,生態情報,本州では、関東地方以西の山地に産するが少ない。山地では4月下旬に得られる。蛹越冬。,日本産蛾類標準図鑑1,immature
note-ECOJP1-202511101941-130,species-4169,生態情報,北海道では普通に産するが、本州では長野県松本市で得られているのみで、非常にめずらしい。蛹越冬。,日本産蛾類標準図鑑1,immature
note-ECOJP1-202511101941-141,species-4180,生態情報,全国的に分布し、関東地方周辺では平地から山地まで分布し、ごく普通。山地では前種と混生することが多い。関東地方周辺の低山地から山間部では4月上旬から出始め。山地では5月上旬~中旬に多く見られる。,日本産蛾類標準図鑑1,review
note-ECOJP1-202511101941-142,species-4181,生態情報,本州では関東地方以西の低山地から山地に多いが、東北地方からは記録がない。関東地方周辺では400m前後の低山地から1000m以上の山地まで分布するが、前2種に比べて産地はかなり限定されている。関東地方周辺の低山地では4月中旬から出始め。,日本産蛾類標準図鑑1,review
note-ECOJP1-202511101941-143,species-4182,生態情報,本州では亜高山から高山帯に見られ、高山帯での灯火採集では高山蛾に混じってよく飛来する。蛹越冬。,日本産蛾類標準図鑑1,immature
note-ECOJP1-202511101941-145,species-4184,生態情報,関東地方周辺では山地に産する。翌春に交尾産卵する。,日本産蛾類標準図鑑1,immature
note-ECOJP1-202511101941-146,species-4185,生態情報,経過習性は前種と同様で。洞穴などに入って。翌春に交尾産卵すると思われる。,日本産蛾類標準図鑑1,immature
note-ECOJP1-202511101941-149,species-4188,生態情報,非常にまれな種であるが。八ヶ岳周辺の本沢温泉。白駒池。麦草峠などの針葉樹林帯で7~8月に得られている。,日本産蛾類標準図鑑1,review
note-ECOJP1-202511101941-150,species-4189,生態情報,関東地方・中部地方山地では5~8月に採れているが。,日本産蛾類標準図鑑1,review
note-ECOJP1-202511101941-151,species-4190,生態情報,関東地方以西の本州と四国に産するとされていたが、宮城県や九州でも得られている。局地的で少ない。標高1000m以上の山地では4月下旬~5月中旬に見られる。,日本産蛾類標準図鑑1,review
note-ECOJP1-202511101941-164,species-4203,生態情報,全国的に産するが、同属の他種より少ない。関東地方周辺の低山地~山地では5~6月に。,日本産蛾類標準図鑑1,review
note-ECOJP1-202511101941-166,species-4205,生態情報,全国的に分布し、低山地から山地に産する。各地に普通に見られる。関東地方・中部地方の山地では6~7月。,日本産蛾類標準図鑑1,review
note-ECOJP1-202511101941-167,species-4206,生態情報,全国的に広く分布し、関東地方周辺では丘陵地から山地まで産する普通種。関東地方周辺の丘陵から低山地では6月から11月まで見られ。,日本産蛾類標準図鑑1,review
note-ECOJP1-202511101941-168,species-4207,生態情報,全国的に分布し、丘陵部から山地まで広く産し、各地に普通だが前種より少ない。寒冷地や中部地方山地では7~8月に得られる。,日本産蛾類標準図鑑1,review
note-ECOJP1-202511101941-169,species-4208,生態情報,関東地方周辺では低山地から山地まで採れるが多くない。低山地や暖地では5月から得られる。,日本産蛾類標準図鑑1,review
note-ECOJP1-202511101941-179,species-4219,生態情報,高山帯では8月に得られており。,日本産蛾類標準図鑑1,review
note-ECOJP1-202511101941-188,species-4228,生態情報,全国的に低山地から亜高山帯まで広く産し、各地にごく普通に見られる。関東地方周辺の低山地では4月下旬から10月上旬まで連続的に得られており。,日本産蛾類標準図鑑1,review
note-ECOJP1-202511101941-190,species-4230,生態情報,"4~11月,関東地方周辺の低山地から山地に産するが。前種より少ない。",日本産蛾類標準図鑑1,review
note-ECOJP1-202511101941-191,species-4231,生態情報,関東地方周辺では低山地から山地にかなり普通に産する。平地では4~6月。,日本産蛾類標準図鑑1,review
note-ECOJP1-202511101941-194,species-4234,生態情報,関東地方周辺では低山地から山地で得られる。北海道や中部地方山地では7~8月に採れ。,日本産蛾類標準図鑑1,review
note-ECOJP1-202511101941-206,species-4246,生態情報,関東地方から中部地方では低山地から高山帯まで広く産し、ごく普通。山地から亜高山帯では8月下旬~9月に得られる。,日本産蛾類標準図鑑1,review
note-ECOJP1-202511101941-213,species-4253,生態情報,日本では北海道から九州まで産する。全国的に平地から亜高山帯下部まで、各地にごく普通に見られる。低山帯では11月下旬から12月下旬まで産する。関東地方周辺の平地では12月下旬から出始め。,日本産蛾類標準図鑑1,review
note-ECOJP1-202511101941-214,species-4255,生態情報,本州では全域に産し、九州では福岡県と熊本県から記録があるが、採集例は少ない。平地から低山地では12月中旬か1月下旬まで見られる。,日本産蛾類標準図鑑1,review
note-ECOJP1-202511101941-228,species-4269,生態情報,関東地方周辺の低山地では3月下旬~4月。,日本産蛾類標準図鑑1,review
note-ECOJP1-202511101941-230,species-4271,生態情報,関東地方周辺では低山地から山地まで産し、各地で普通。標高1500m前後の山地では6月中旬~7月下旬に多く見られる。,日本産蛾類標準図鑑1,review
note-ECOJP1-202511101941-233,species-4274,生態情報,関東地方、中部地方での分布域は前種と同様に低山地に産し、前種と混生する地域が多い。幼虫が8月に得られ。,日本産蛾類標準図鑑1,immature
note-ECOJP1-202511101941-236,species-4277,生態情報,本州では東北地方から関東地方、中部地方の山地から高山帯まで生息域は広く、普通に産する。高山帯では7~8月に得られ。,日本産蛾類標準図鑑1,review
note-ECOJP1-202511101941-238,species-4279,生態情報,関東地方、北陸地方以西に広く分布するが、秋田県、宮城県、山形県で得られている。,日本産蛾類標準図鑑1,review
note-ECOJP1-202511101941-240,species-4281,生態情報,全国的に分布し、平地から山地まで広く産し、各地でごく普通。関東地方周辺の平地から低山地では5~9月に得られており。蛹越冬。,日本産蛾類標準図鑑1,immature
note-ECOJP1-202511101941-241,species-4282,生態情報,関東地方周辺では山地に産するが、前種の生息域が広いので混生する地域が多い。経過習性は前種とほぼ同じで。年2化で蛹越冬である。,日本産蛾類標準図鑑1,immature
note-ECOJP1-202511101941-251,species-4292,生態情報,全国的に分布し、低山地から亜高山帯下部まで産し、各地でごく普通に見られる。関東地方、中部地方の山地では、前種と混生する地域が多い。低山地では5月下旬から得られる。,日本産蛾類標準図鑑1,review
note-ECOJP1-202511101941-262,species-4303,生態情報,関東地方周辺では低山地から山地に産するが少ない。低山地では9月中旬~10月に。中部地方山地では8~9月に得られ。,日本産蛾類標準図鑑1,review
note-ECOJP1-202511101941-265,species-4306,生態情報,本州では。長野県。山梨県の山地から亜高山帯で8~9月に得られているが。かなりまれである。,日本産蛾類標準図鑑1,review
note-ECOJP1-202511101941-272,species-4315,生態情報,3~4月に平地から山地まで普通に見られる。,日本産蛾類標準図鑑1,review
note-ECOJP1-202511101941-275,species-4318,生態情報,関東地方周辺では平地~低山地で10~11月に。少ない。,日本産蛾類標準図鑑1,review
note-ECOJP1-202511101941-285,species-4326,生態情報,4~5月に山地で得られるが少ない。,日本産蛾類標準図鑑1,review
note-ECOJP1-202511101941-287,species-4327,生態情報,関東地方では低山地から山地で6~9月に普通に見られる。,日本産蛾類標準図鑑1,review
note-ECOJP1-202511101941-288,species-4328,生態情報,山地で8~10月に採れるが。多くない。,日本産蛾類標準図鑑1,review
note-ECOJP1-202511101941-289,species-4329,生態情報,本州中部地方の山地では7~8月に採れる。,日本産蛾類標準図鑑1,review
note-ECOJP1-202511101941-301,species-4342,生態情報,本州中部地方の高標高の山地で6月に採れているが。産地は限定され。非常にめずらしい。,日本産蛾類標準図鑑1,review
note-ECOJP1-202511101941-305,species-4346,生態情報,本州中部地方では亜高山から高山帯で7~8月に採れるが。あまり多くない。,日本産蛾類標準図鑑1,review
note-ECOJP1-202511101941-308,species-4349,生態情報,山地で5~9月に採れるが。多くない。,日本産蛾類標準図鑑1,review
note-ECOJP1-202511101941-309,species-4350,生態情報,秋の蛾で。主に平地から低山地で9~10月に得られるが。非常に少ない。,日本産蛾類標準図鑑1,review
note-ECOJP1-202511101941-310,species-4351,生態情報,関東地方では山地で8~9月に採れるが少ない。,日本産蛾類標準図鑑1,review
note-ECOJP1-202511101941-311,species-4352,生態情報,関東地方周辺では山地で5~6月と8~9月に採れているが。あまり多くない。,日本産蛾類標準図鑑1,review
note-ECOJP1-202511101941-313,species-4354,生態情報,北海道には比較的広く分布しているが、個体数は少ない。本州では産地は限定され。亜高山帯で7~8月に採れているが。きわめてまれ。,日本産蛾類標準図鑑1,review
note-ECOJP1-202511101941-327,species-4368,生態情報,6~7月に山地で普通。,日本産蛾類標準図鑑1,review
note-ECOJP1-202511101941-331,species-4372,生態情報,3~4月に平地から山地まで各地に多い。,日本産蛾類標準図鑑1,review
note-ECOJP1-202511101941-332,species-4373,生態情報,関東地方では3~4月に平地や低山地で採れるが少ない。,日本産蛾類標準図鑑1,review
note-ECOJP1-202511101941-340,species-4385,生態情報,分布が広く。4~10月に平地から山地まで各地で採れるが。あまり多くない。,日本産蛾類標準図鑑1,review
note-ECOJP1-202511101941-344,species-4389,生態情報,5~10月に平地から低山地で普通に見られる。,日本産蛾類標準図鑑1,review
note-ECOJP1-202511101941-357,species-4402,生態情報,"9月,台湾では山地で4~8月に採れている。",日本産蛾類標準図鑑1,review
note-ECOJP1-202511101941-363,species-4409,生態情報,北海道で5月に幼虫から飼育・羽化させた2♂2♀しか知られていない。,日本産蛾類標準図鑑1,immature
note-ECOJP1-202511101941-378,species-4425,生態情報,秋の蛾。少ない。,日本産蛾類標準図鑑1,review
note-ECOJP1-202511101941-388,species-4435,生態情報,北海道大雪山では8月に卵。幼虫。成虫が見られることから。成虫になるまでに3年かかると推定されている。,日本産蛾類標準図鑑1,immature
note-ECOJP1-202511101941-389,species-4437,生態情報,幼虫で越冬する。平地、山地に普通に産する。,日本産蛾類標準図鑑1,immature
note-ECOJP1-202511101941-395,species-4443,生態情報,幼虫で越冬する。,日本産蛾類標準図鑑1,immature
note-ECOJP1-202511101941-397,species-4446,生態情報,幼虫で越冬する。各地に普通に産する。,日本産蛾類標準図鑑1,immature
note-ECOJP1-202511101941-398,species-4447,生態情報,卵で越冬する。平地、山地に普通に産する。,日本産蛾類標準図鑑1,immature
note-ECOJP1-202511101941-405,species-4455,生態情報,平地では5~6月。卵は小枝にらせん状に産付され。平地、山地に普通。,日本産蛾類標準図鑑1,immature
note-ECOJP1-202511101941-409,species-4459,生態情報,卵で越冬する。,日本産蛾類標準図鑑1,immature
note-ECOJP1-202511101941-410,species-4460,生態情報,平地、山地に普通であるが、♀は灯火にほとんど飛来しないので得にくい。蛹で越冬する。,日本産蛾類標準図鑑1,immature
note-ECOJP1-202511101941-413,species-4463,生態情報,山地に産するが、あまり多くはなく、特に♀は得難い。蛹で越冬する。,日本産蛾類標準図鑑1,immature
note-ECOJP1-202511101941-415,species-4465,生態情報,蛹で越冬する。,日本産蛾類標準図鑑1,immature
note-ECOJP1-202511101941-416,species-4466,生態情報,蛹化の際は食樹の葉を縦に巻いてかたい繭をつくる。蛹で越冬する。,日本産蛾類標準図鑑1,immature
note-ECOJP1-202511101941-418,species-4468,生態情報,卵で越冬する。,日本産蛾類標準図鑑1,immature
note-ECOJP1-202511101941-419,species-4469,生態情報,蛹で越冬する。,日本産蛾類標準図鑑1,immature
note-ECOJP1-202511101941-420,species-4471,生態情報,卵で越冬する。,日本産蛾類標準図鑑1,immature
note-ECOJP1-202511101941-421,species-4472,生態情報,♂♀ともに灯火によく飛来する。卵で越冬する。,日本産蛾類標準図鑑1,immature
note-ECOJP1-202511101941-422,species-4473,生態情報,平地では12月になっても得られることがある。卵で越冬する。,日本産蛾類標準図鑑1,immature
note-ECOJP1-202511101941-424,species-4475,生態情報,落葉の中で繭をつくり。蛹で越冬する。,日本産蛾類標準図鑑1,immature
note-ECOJP1-202511101941-425,species-4476,生態情報,老熟幼虫は食樹から降り。落葉の中で繭をつくって蛹で越冬する。,日本産蛾類標準図鑑1,immature
note-ECOJP1-202511101941-426,species-4477,生態情報,蛹で越冬する。,日本産蛾類標準図鑑1,immature
note-ECOJP1-202511101941-427,species-4478,生態情報,灯火への飛来時間はやや遅く、午後10時以降に多い。土中で蛹化し。蛹で越冬する。,日本産蛾類標準図鑑1,immature
note-ECOJP1-202511101941-446,species-4497,生態情報,幼虫越冬で翌春蛹化する。平地、山地に普通。,日本産蛾類標準図鑑1,immature
